hash_name,item_nameid
Sticker%20%7C%20electroNic%20%7C%20Stockholm%202021,176274535
Sticker%20%7C%20REZ%20%7C%20Paris%202023,176371906
Sticker%20%7C%20Keoz%20%7C%20Paris%202023,176372031
AK-47%20%7C%20Safari%20Mesh%20(Field-Tested),2384364
Dual%20Berettas%20%7C%20Colony%20(Field-Tested),2383371
Sticker%20%7C%20karrigan%20%7C%20Paris%202023,176371760
Sticker%20%7C%20shalfey%20%7C%20Paris%202023,176371910
Sticker%20%7C%20headtr1ck%20%7C%20Paris%202023,176371818
Sticker%20%7C%20Liquid%20%7C%202020%20RMR,176222741
Danger%20Zone%20Case,176024744
Sticker%20%7C%20b1t%20%7C%20Stockholm%202021,176274534
Sticker%20%7C%20BIG%20%7C%20Rio%202022,176339539
Sticker%20%7C%20Vitality%20%7C%20Copenhagen%202024,176420453
Sticker%20%7C%20INS%20%7C%20Paris%202023,176371917
UMP-45%20%7C%20Urban%20DDPAT%20(Field-Tested),2383732
Souvenir%20SSG%2008%20%7C%20Prey%20(Field-Tested),176271203
Nova%20%7C%20Polar%20Mesh%20(Field-Tested),2383733
Sticker%20%7C%20nicoodoz%20%7C%20Paris%202023,176371755
Sticker%20%7C%20History%20%7C%20Paris%202023,176371840
PP-Bizon%20%7C%20Urban%20Dashed%20(Field-Tested),2383795
MAG-7%20%7C%20Rust%20Coat%20(Well-Worn),176012392
Tec-9%20%7C%20Army%20Mesh%20(Minimal%20Wear),2383890
Sticker%20%7C%20siuhy%20%7C%20Paris%202023,176371994
Sticker%20%7C%20Complexity%20Gaming%20%7C%20Copenhagen%202024,176420451
Sticker%20%7C%20IHC%20Esports%20%7C%20Rio%202022,176339508
Sticker%20%7C%20Snax%20%7C%20Shanghai%202024,176475118
Shanghai%202024%20Contenders%20Sticker%20Capsule,176475027
Sticker%20%7C%20Bad%20News%20Eagles%20%7C%20Rio%202022,176339512
Sticker%20%7C%20rallen%20%7C%20Paris%202023,176371811
Prisma%202%20Case,176118270
Sticker%20%7C%20huNter-%20%7C%20Paris%202023,176371780
Sticker%20%7C%20zorte%20%7C%20Paris%202023,176371688
Sticker%20%7C%20Boombl4%20%7C%20Stockholm%202021,176274536
Sticker%20%7C%20iM%20%7C%20Paris%202023,176371957
Sticker%20%7C%20jL%20%7C%20Paris%202023,176371861
Sticker%20%7C%20WOOD7%20%7C%20Paris%202023,176371779
SG%20553%20%7C%20Army%20Sheen%20(Minimal%20Wear),8987885
Sticker%20%7C%20BIG%20%7C%20Antwerp%202022,176312039
Sticker%20%7C%20PGL%20%7C%20Antwerp%202022,176312040
Sticker%20%7C%20Krad%20%7C%20Paris%202023,176371937
Sticker%20%7C%20FURIA%20%7C%20Antwerp%202022,176312035
Sticker%20%7C%20Heroic%20%7C%20Antwerp%202022,176312054
Paris%202023%20Contenders%20Autograph%20Capsule,176373439
Sticker%20%7C%20FASHR%20%7C%20Paris%202023,176371683
Sticker%20%7C%20Aleksib%20(Champion)%20%7C%20Copenhagen%202024,176422582
Sticker%20%7C%20FURIA%20%7C%20Copenhagen%202024,176420466
Sticker%20%7C%20gxx-%20%7C%20Paris%202023,176371663
Prisma%20Case,176042493
Sticker%20%7C%20mezii%20%7C%20Paris%202023,176371730
Sawed-Off%20%7C%20Forest%20DDPAT%20(Field-Tested),8988556
Sticker%20%7C%20sinnopsyy%20%7C%20Paris%202023,176371739
Tec-9%20%7C%20Urban%20DDPAT%20(Field-Tested),8988615
Sticker%20%7C%20chopper%20%7C%20Shanghai%202024,176475057
Sticker%20%7C%20b1t%20(Champion)%20%7C%20Copenhagen%202024,176422585
MAG-7%20%7C%20Rust%20Coat%20(Battle-Scarred),176012410
Sticker%20%7C%20KRIMZ%20%7C%20Paris%202023,176371798
Sticker%20%7C%20xertioN%20%7C%20Shanghai%202024,176475161
Sticker%20%7C%20Brollan%20%7C%20Shanghai%202024,176475215
Sticker%20%7C%20Cloud9%20%7C%20Shanghai%202024,176475041
Sticker%20%7C%20Natus%20Vincere%20%7C%202020%20RMR,176222709
Sticker%20%7C%20Jimpphat%20%7C%20Shanghai%202024,176475140
Sticker%20%7C%20Graviti%20%7C%20Shanghai%202024,176475147
Sticker%20%7C%20Imperial%20Esports%20%7C%20Copenhagen%202024,176420495
MP7%20%7C%20Army%20Recon%20(Battle-Scarred),2383856
Sticker%20%7C%20Renegades%20%7C%20Antwerp%202022,176312033
Sticker%20%7C%20w0nderful%20(Champion)%20%7C%20Copenhagen%202024,176422574
Sticker%20%7C%20rigoN%20%7C%20Paris%202023,176371817
R8%20Revolver%20%7C%20Bone%20Mask%20(Field-Tested),84444465
MAG-7%20%7C%20Rust%20Coat%20(Field-Tested),176012389
Sticker%20%7C%20rain%20(Champion)%20%7C%20Antwerp%202022,176315228
Sticker%20%7C%20Heroic%20%7C%20Rio%202022,176339492
Sticker%20%7C%20Fnatic%20%7C%20Rio%202022,176339553
Sticker%20%7C%20Spinx%20%7C%20Shanghai%202024,176475015
Sticker%20%7C%20The%20MongolZ%20(Glitter)%20%7C%20Paris%202023,176371657
Sticker%20%7C%20mezii%20%7C%20Shanghai%202024,176475188
2020%20RMR%20Legends,176222704
Sticker%20%7C%20FlameZ%20%7C%20Shanghai%202024,176475155
Sticker%20%7C%20Jame%20%7C%20Copenhagen%202024,176420578
Sticker%20%7C%20TeSeS%20%7C%20Shanghai%202024,176475098
Sticker%20%7C%20MOUZ%20%7C%20Rio%202022,176339529
